CFSAUID,DGUID,PRUID,PRNAME,LANDAREA,npop_count
H1Y,2021A0011H1Y,"24",Quebec / Québec,2.6523,"4"
H2L,2021A0011H2L,"24",Quebec / Québec,2.4144,"3"
H2W,2021A0011H2W,"24",Quebec / Québec,0.9836,"1"
H2X,2021A0011H2X,"24",Quebec / Québec,1.565,"4"
H3N,2021A0011H3N,"24",Quebec / Québec,1.6611,"6"
H4N,2021A0011H4N,"24",Quebec / Québec,5.3313,"1"
H9P,2021A0011H9P,"24",Quebec / Québec,15.3944,"1"
H9X,2021A0011H9X,"24",Quebec / Québec,23.9345,"3"
