CFSAUID,DGUID,PRUID,PRNAME,LANDAREA,npop_count
L2H,2021A0011L2H,35,Ontario,50.4623,
L2J,2021A0011L2J,35,Ontario,21.3045,
L2M,2021A0011L2M,35,Ontario,15.7486,
L2N,2021A0011L2N,35,Ontario,12.8871,
L2P,2021A0011L2P,35,Ontario,8.7476,
L2R,2021A0011L2R,35,Ontario,62.1652,
L2S,2021A0011L2S,35,Ontario,10.7378,
L2T,2021A0011L2T,35,Ontario,10.8682,
L2V,2021A0011L2V,35,Ontario,23.5948,
L2W,2021A0011L2W,35,Ontario,0.918,
L3B,2021A0011L3B,35,Ontario,124.5739,
L3C,2021A0011L3C,35,Ontario,23.4021,
L3K,2021A0011L3K,35,Ontario,122.9781,
L3L,2021A0011L3L,35,Ontario,6.4533,
L3M,2021A0011L3M,35,Ontario,68.7098,
L3P,2021A0011L3P,35,Ontario,43.7598,
L3R,2021A0011L3R,35,Ontario,19.4291,1.0
L3S,2021A0011L3S,35,Ontario,15.3115,
L3T,2021A0011L3T,35,Ontario,24.2116,
L3V,2021A0011L3V,35,Ontario,320.9005,
L3X,2021A0011L3X,35,Ontario,18.6141,
L3Y,2021A0011L3Y,35,Ontario,48.1146,
L3Z,2021A0011L3Z,35,Ontario,157.2,
L4A,2021A0011L4A,35,Ontario,228.6984,
L4B,2021A0011L4B,35,Ontario,15.4284,
L4C,2021A0011L4C,35,Ontario,23.7011,
L4E,2021A0011L4E,35,Ontario,32.917,
L4G,2021A0011L4G,35,Ontario,50.0005,
L4H,2021A0011L4H,35,Ontario,76.334,
L4J,2021A0011L4J,35,Ontario,22.3937,
L4K,2021A0011L4K,35,Ontario,32.8087,
L4L,2021A0011L4L,35,Ontario,36.3704,
L4M,2021A0011L4M,35,Ontario,77.8005,
L4N,2021A0011L4N,35,Ontario,55.6162,2.0
L4P,2021A0011L4P,35,Ontario,67.6291,
L4R,2021A0011L4R,35,Ontario,107.8584,
L4S,2021A0011L4S,35,Ontario,28.7441,
L4T,2021A0011L4T,35,Ontario,33.7566,
L4V,2021A0011L4V,35,Ontario,2.4291,
L4W,2021A0011L4W,35,Ontario,19.4499,1.0
L4X,2021A0011L4X,35,Ontario,6.3661,
L4Y,2021A0011L4Y,35,Ontario,8.1692,
L4Z,2021A0011L4Z,35,Ontario,9.95,
L5A,2021A0011L5A,35,Ontario,8.242,
